quarter,senator,party,state,approve,disapprove,net,lean,pars_538
2019-03-31,Jones,D,Alabama,40,34,6,-29.43,33
2019-03-31,Shelby,R,Alabama,46,25,21,29.43,-6
2019-03-31,Murkowski,R,Alaska,43,36,7,18.83,-9
2019-03-31,Sullivan,R,Alaska,38,32,6,18.83,-9
2019-03-31,McSally,R,Arizona,35,35,0,8.3,-9
2019-03-31,Sinema,D,Arizona,42,29,13,-8.3,21
2019-03-31,Boozman,R,Arkansas,46,25,21,29.96,-3
2019-03-31,Cotton,R,Arkansas,48,29,19,29.96,-5
2019-03-31,Feinstein,D,California,43,35,8,26.71,-16
2019-03-31,Harris,D,California,43,29,14,26.71,-11
2019-03-31,Bennet,D,Colorado,39,28,11,2.62,9
2019-03-31,Gardner,R,Colorado,35,35,0,-2.62,1
2019-03-31,Blumenthal,D,Connecticut,46,36,10,12.57,-1
2019-03-31,Murphy,D,Connecticut,49,32,17,12.57,6
2019-03-31,Carper,D,Delaware,51,30,21,11.46,7
2019-03-31,Coons,D,Delaware,52,29,23,11.46,9
2019-03-31,Rubio,R,Florida,44,35,9,3.36,5
2019-03-31,R. Scott,R,Florida,42,35,7,3.36,2
2019-03-31,Isakson,R,Georgia,41,24,17,8.96,6
2019-03-31,Perdue,R,Georgia,47,25,22,8.96,10
2019-03-31,Hirono,D,Hawaii,47,34,13,35.09,-22
2019-03-31,Schatz,D,Hawaii,53,25,28,35.09,-8
2019-03-31,Crapo,R,Idaho,46,26,20,38.1,-15
2019-03-31,Risch,R,Idaho,43,23,20,38.1,-15
2019-03-31,Duckworth,D,Illinois,41,31,10,14.96,-2
2019-03-31,Durbin,D,Illinois,37,35,2,14.96,-10
2019-03-31,Braun,R,Indiana,40,27,13,19.76,-5
2019-03-31,Young,R,Indiana,39,25,14,19.76,-4
2019-03-31,Ernst,R,Iowa,40,37,3,7.33,-3
2019-03-31,Grassley,R,Iowa,42,39,3,7.33,-3
2019-03-31,Moran,R,Kansas,37,28,9,24.98,-13
2019-03-31,Roberts,R,Kansas,35,34,1,24.98,-23
2019-03-31,McConnell,R,Kentucky,36,50,-14,31.44,-36
2019-03-31,Paul,R,Kentucky,41,38,3,31.44,-21
2019-03-31,Cassidy,R,Louisiana,47,24,23,22.18,6
2019-03-31,Kennedy,R,Louisiana,49,23,26,22.18,8
2019-03-31,Collins,R,Maine,52,39,13,-4.58,18
2019-03-31,King,I,Maine,58,29,29,4.58,25
2019-03-31,Cardin,D,Maryland,50,22,28,24.78,5
2019-03-31,Van Hollen,D,Maryland,45,21,24,24.78,2
2019-03-31,Markey,D,Massachusetts,49,23,26,24.6,29
2019-03-31,Warren,D,Massachusetts,49,40,9,24.6,-20
2019-03-31,Peters,D,Michigan,33,23,10,0.32,9
2019-03-31,Stabenow,D,Michigan,46,33,13,0.32,12
2019-03-31,Klobuchar,D,Minnesota,58,26,32,1.04,30
2019-03-31,Smith,D,Minnesota,42,24,18,1.04,16
2019-03-31,Hyde-Smith,R,Mississippi,38,37,1,18.67,-14
2019-03-31,Wicker,R,Mississippi,45,28,17,18.67,3
2019-03-31,Blunt,R,Missouri,38,35,3,19.03,-16
2019-03-31,Hawley,R,Missouri,37,30,7,19.03,-12
2019-03-31,Daines,R,Montana,44,31,13,22.24,-5
2019-03-31,Tester,D,Montana,50,38,12,-22.24,30
2019-03-31,Fischer,R,Nebraska,46,34,12,28.28,-12
2019-03-31,Sasse,R,Nebraska,49,27,22,28.28,-1
2019-03-31,Cortez Masto,D,Nevada,38,31,7,1.16,8
2019-03-31,Rosen,D,Nevada,39,32,7,1.16,8
2019-03-31,Hassan,D,New Hampshire,50,33,17,-0.63,19
2019-03-31,Shaheen,D,New Hampshire,53,32,21,-0.63,23
2019-03-31,Booker,D,New Jersey,47,33,14,12.88,0
2019-03-31,Menendez,D,New Jersey,33,43,-10,12.88,-23
2019-03-31,Heinrich,D,New Mexico,39,32,7,6.96,1
2019-03-31,Udall,D,New Mexico,39,31,8,6.96,2
2019-03-31,Gillibrand,D,New York,43,30,13,22.38,-9
2019-03-31,Schumer,D,New York,47,35,12,22.38,-10
2019-03-31,Burr,R,North Carolina,38,31,7,6.02,3
2019-03-31,Tillis,R,North Carolina,34,33,1,6.02,-3
2019-03-31,Cramer,R,North Dakota,43,35,8,35.91,-25
2019-03-31,Hoeven,R,North Dakota,55,22,33,35.91,0
2019-03-31,Brown,D,Ohio,45,28,17,-7.35,24
2019-03-31,Portman,R,Ohio,39,28,11,7.35,3
2019-03-31,Inhofe,R,Oklahoma,41,29,12,39.74,-22
2019-03-31,Lankford,R,Oklahoma,41,26,15,39.74,-19
2019-03-31,Merkley,D,Oregon,46,28,18,9.6,9
2019-03-31,Wyden,D,Oregon,50,26,24,9.6,15
2019-03-31,Casey,D,Pennsylvania,44,29,15,-1.52,16
2019-03-31,Toomey,R,Pennsylvania,38,33,5,1.52,4
2019-03-31,Reed,D,Rhode Island,49,27,22,17.66,-4
2019-03-31,Whitehouse,D,Rhode Island,46,35,11,17.66,-15
2019-03-31,Graham,R,South Carolina,52,31,21,16.31,4
2019-03-31,T. Scott,R,South Carolina,51,21,30,16.31,13
2019-03-31,Rounds,R,South Dakota,56,28,28,30.14,-3
2019-03-31,Thune,R,South Dakota,55,31,24,30.14,-7
2019-03-31,Alexander,R,Tennessee,43,30,13,27.84,-15
2019-03-31,Blackburn,R,Tennessee,43,33,10,27.84,-18
2019-03-31,Cornyn,R,Texas,42,25,17,14.29,0
2019-03-31,Cruz,R,Texas,48,35,13,14.29,-4
2019-03-31,Lee,R,Utah,45,27,18,36.75,-14
2019-03-31,Romney,R,Utah,50,29,21,36.75,-10
2019-03-31,Leahy,D,Vermont,59,28,31,29.71,7
2019-03-31,Sanders,I,Vermont,62,31,31,29.71,7
2019-03-31,Kaine,D,Virginia,46,33,13,2.29,13
2019-03-31,Warner,D,Virginia,48,29,19,2.29,19
2019-03-31,Cantwell,D,Washington,48,29,19,14,7
2019-03-31,Murray,D,Washington,47,29,18,14,6
2019-03-31,Moore Capito,R,West Virginia,48,30,18,41.58,-12
2019-03-31,Manchin,D,West Virginia,46,41,5,-41.58,35
2019-03-31,Baldwin,D,Wisconsin,48,35,13,-0.84,15
2019-03-31,Johnson,R,Wisconsin,39,33,6,0.84,5
2019-03-31,Barrasso,R,Wyoming,56,26,30,51.08,-18
2019-03-31,Enzi,R,Wyoming,52,23,29,51.08,-18
2018-12-31,Jones,D,Alabama,40,35,5,-29.43,
2018-12-31,Shelby,R,Alabama,47,27,20,29.43,
2018-12-31,Murkowski,R,Alaska,39,42,-3,18.83,
2018-12-31,Sullivan,R,Alaska,40,33,7,18.83,
2018-12-31,Kyl,R,Arizona,35,24,11,8.3,
2018-12-31,Flake,R,Arizona,28,49,-21,8.3,
2018-12-31,Boozman,R,Arkansas,47,26,21,29.96,
2018-12-31,Cotton,R,Arkansas,47,31,16,29.96,
2018-12-31,Feinstein,D,California,43,37,6,26.71,
2018-12-31,Harris,D,California,43,29,14,26.71,
2018-12-31,Bennet,D,Colorado,39,29,10,2.62,
2018-12-31,Gardner,R,Colorado,37,35,2,-2.62,
2018-12-31,Blumenthal,D,Connecticut,46,37,9,12.57,
2018-12-31,Murphy,D,Connecticut,48,34,14,12.57,
2018-12-31,Carper,D,Delaware,49,28,21,11.46,
2018-12-31,Coons,D,Delaware,49,29,20,11.46,
2018-12-31,Rubio,R,Florida,41,38,3,3.36,
2018-12-31,Nelson,D,Florida,40,41,-1,-3.36,
2018-12-31,Isakson,R,Georgia,43,27,16,8.96,
2018-12-31,Perdue,R,Georgia,46,28,18,8.96,
2018-12-31,Hirono,D,Hawaii,57,29,28,35.09,
2018-12-31,Schatz,D,Hawaii,58,23,35,35.09,
2018-12-31,Crapo,R,Idaho,46,31,15,38.1,
2018-12-31,Risch,R,Idaho,43,29,14,38.1,
2018-12-31,Duckworth,D,Illinois,41,33,8,14.96,
2018-12-31,Durbin,D,Illinois,36,39,-3,14.96,
2018-12-31,Young,R,Indiana,39,26,13,19.76,
2018-12-31,Donnelly,D,Indiana,39,39,0,-19.76,
2018-12-31,Ernst,R,Iowa,40,37,3,7.33,
2018-12-31,Grassley,R,Iowa,42,40,2,7.33,
2018-12-31,Moran,R,Kansas,38,32,6,24.98,
2018-12-31,Roberts,R,Kansas,36,37,-1,24.98,
2018-12-31,McConnell,R,Kentucky,38,47,-9,31.44,
2018-12-31,Paul,R,Kentucky,43,38,5,31.44,
2018-12-31,Cassidy,R,Louisiana,46,26,20,22.18,
2018-12-31,Kennedy,R,Louisiana,48,24,24,22.18,
2018-12-31,Collins,R,Maine,53,38,15,-4.58,
2018-12-31,King,I,Maine,57,31,26,4.58,
2018-12-31,Cardin,D,Maryland,50,22,28,24.78,
2018-12-31,Van Hollen,D,Maryland,44,21,23,24.78,
2018-12-31,Markey,D,Massachusetts,51,22,29,24.6,
2018-12-31,Warren,D,Massachusetts,51,36,15,24.6,
2018-12-31,Peters,D,Michigan,33,27,6,0.32,
2018-12-31,Stabenow,D,Michigan,46,35,11,0.32,
2018-12-31,Klobuchar,D,Minnesota,58,27,31,1.04,
2018-12-31,Smith,D,Minnesota,43,26,17,1.04,
2018-12-31,Hyde-Smith,R,Mississippi,42,34,8,18.67,
2018-12-31,Wicker,R,Mississippi,50,25,25,18.67,
2018-12-31,Blunt,R,Missouri,39,35,4,19.03,
2018-12-31,McCaskill,D,Missouri,36,49,-13,-19.03,
2018-12-31,Daines,R,Montana,49,30,19,22.24,
2018-12-31,Tester,D,Montana,51,41,10,-22.24,
2018-12-31,Fischer,R,Nebraska,45,36,9,28.28,
2018-12-31,Sasse,R,Nebraska,46,30,16,28.28,
2018-12-31,Cortez Masto,D,Nevada,36,33,3,1.16,
2018-12-31,Heller,R,Nevada,35,45,-10,-1.16,
2018-12-31,Hassan,D,New Hampshire,48,32,16,-0.63,
2018-12-31,Shaheen,D,New Hampshire,51,32,19,-0.63,
2018-12-31,Booker,D,New Jersey,47,33,14,12.88,
2018-12-31,Menendez,D,New Jersey,33,45,-12,12.88,
2018-12-31,Heinrich,D,New Mexico,42,32,10,6.96,
2018-12-31,Udall,D,New Mexico,42,30,12,6.96,
2018-12-31,Gillibrand,D,New York,47,28,19,22.38,
2018-12-31,Schumer,D,New York,47,34,13,22.38,
2018-12-31,Burr,R,North Carolina,40,30,10,6.02,
2018-12-31,Tillis,R,North Carolina,36,32,4,6.02,
2018-12-31,Heitkamp,D,North Dakota,43,35,8,-35.91,
2018-12-31,Hoeven,R,North Dakota,54,25,29,35.91,
2018-12-31,Brown,D,Ohio,46,29,17,-7.35,
2018-12-31,Portman,R,Ohio,38,31,7,7.35,
2018-12-31,Inhofe,R,Oklahoma,38,35,3,39.74,
2018-12-31,Lankford,R,Oklahoma,39,32,7,39.74,
2018-12-31,Merkley,D,Oregon,47,25,22,9.6,
2018-12-31,Wyden,D,Oregon,50,24,26,9.6,
2018-12-31,Casey,D,Pennsylvania,46,29,17,-1.52,
2018-12-31,Toomey,R,Pennsylvania,37,34,3,1.52,
2018-12-31,Reed,D,Rhode Island,54,23,31,17.66,
2018-12-31,Whitehouse,D,Rhode Island,51,33,18,17.66,
2018-12-31,Graham,R,South Carolina,51,32,19,16.31,
2018-12-31,T. Scott,R,South Carolina,52,22,30,16.31,
2018-12-31,Rounds,R,South Dakota,56,29,27,30.14,
2018-12-31,Thune,R,South Dakota,59,27,32,30.14,
2018-12-31,Alexander,R,Tennessee,43,30,13,27.84,
2018-12-31,Corker,R,Tennessee,40,36,4,27.84,
2018-12-31,Cornyn,R,Texas,43,25,18,14.29,
2018-12-31,Cruz,R,Texas,49,35,14,14.29,
2018-12-31,Lee,R,Utah,47,28,19,36.75,
2018-12-31,Hatch,R,Utah,45,37,8,36.75,
2018-12-31,Leahy,D,Vermont,62,23,39,29.71,
2018-12-31,Sanders,I,Vermont,64,28,36,29.71,
2018-12-31,Kaine,D,Virginia,47,32,15,2.29,
2018-12-31,Warner,D,Virginia,49,27,22,2.29,
2018-12-31,Cantwell,D,Washington,47,30,17,14,
2018-12-31,Murray,D,Washington,45,31,14,14,
2018-12-31,Moore Capito,R,West Virginia,44,33,11,41.58,
2018-12-31,Manchin,D,West Virginia,43,44,-1,-41.58,
2018-12-31,Baldwin,D,Wisconsin,49,35,14,-0.84,
2018-12-31,Johnson,R,Wisconsin,38,36,2,0.84,
2018-12-31,Barrasso,R,Wyoming,56,27,29,51.08,
2018-12-31,Enzi,R,Wyoming,62,26,36,51.08,
2018-09-30,Jones,D,Alabama,43,30,13,-29.43,
2018-09-30,Shelby,R,Alabama,48,28,20,29.43,
2018-09-30,Murkowski,R,Alaska,44,36,8,18.83,
2018-09-30,Sullivan,R,Alaska,42,35,7,18.83,
2018-09-30,McCain,R,Arizona,44,45,-1,8.3,
2018-09-30,Flake,R,Arizona,32,49,-17,8.3,
2018-09-30,Boozman,R,Arkansas,46,28,18,29.96,
2018-09-30,Cotton,R,Arkansas,50,32,18,29.96,
2018-09-30,Feinstein,D,California,44,37,7,26.71,
2018-09-30,Harris,D,California,44,30,14,26.71,
2018-09-30,Bennet,D,Colorado,42,32,10,2.62,
2018-09-30,Gardner,R,Colorado,39,37,2,-2.62,
2018-09-30,Blumenthal,D,Connecticut,47,39,8,12.57,
2018-09-30,Murphy,D,Connecticut,46,36,10,12.57,
2018-09-30,Carper,D,Delaware,51,29,22,11.46,
2018-09-30,Coons,D,Delaware,50,30,20,11.46,
2018-09-30,Rubio,R,Florida,41,42,-1,3.36,
2018-09-30,Nelson,D,Florida,39,41,-2,-3.36,
2018-09-30,Isakson,R,Georgia,46,27,19,8.96,
2018-09-30,Perdue,R,Georgia,46,28,18,8.96,
2018-09-30,Hirono,D,Hawaii,57,30,27,35.09,
2018-09-30,Schatz,D,Hawaii,57,26,31,35.09,
2018-09-30,Crapo,R,Idaho,48,30,18,38.1,
2018-09-30,Risch,R,Idaho,46,30,16,38.1,
2018-09-30,Duckworth,D,Illinois,44,33,11,14.96,
2018-09-30,Durbin,D,Illinois,37,40,-3,14.96,
2018-09-30,Young,R,Indiana,41,29,12,19.76,
2018-09-30,Donnelly,D,Indiana,39,38,1,-19.76,
2018-09-30,Ernst,R,Iowa,42,37,5,7.33,
2018-09-30,Grassley,R,Iowa,45,38,7,7.33,
2018-09-30,Moran,R,Kansas,39,34,5,24.98,
2018-09-30,Roberts,R,Kansas,34,41,-7,24.98,
2018-09-30,McConnell,R,Kentucky,33,52,-19,31.44,
2018-09-30,Paul,R,Kentucky,41,40,1,31.44,
2018-09-30,Cassidy,R,Louisiana,46,27,19,22.18,
2018-09-30,Kennedy,R,Louisiana,49,24,25,22.18,
2018-09-30,Collins,R,Maine,53,38,15,-4.58,
2018-09-30,King,I,Maine,58,29,29,4.58,
2018-09-30,Cardin,D,Maryland,46,25,21,24.78,
2018-09-30,Van Hollen,D,Maryland,44,23,21,24.78,
2018-09-30,Markey,D,Massachusetts,49,25,24,24.6,
2018-09-30,Warren,D,Massachusetts,50,40,10,24.6,
2018-09-30,Peters,D,Michigan,33,28,5,0.32,
2018-09-30,Stabenow,D,Michigan,43,37,6,0.32,
2018-09-30,Klobuchar,D,Minnesota,58,26,32,1.04,
2018-09-30,Smith,D,Minnesota,41,24,17,1.04,
2018-09-30,Hyde-Smith,R,Mississippi,39,22,17,18.67,
2018-09-30,Wicker,R,Mississippi,46,27,19,18.67,
2018-09-30,Blunt,R,Missouri,38,38,0,19.03,
2018-09-30,McCaskill,D,Missouri,37,48,-11,-19.03,
2018-09-30,Daines,R,Montana,42,35,7,22.24,
2018-09-30,Tester,D,Montana,52,37,15,-22.24,
2018-09-30,Fischer,R,Nebraska,42,39,3,28.28,
2018-09-30,Sasse,R,Nebraska,43,34,9,28.28,
2018-09-30,Cortez Masto,D,Nevada,37,35,2,1.16,
2018-09-30,Heller,R,Nevada,37,44,-7,-1.16,
2018-09-30,Hassan,D,New Hampshire,50,36,14,-0.63,
2018-09-30,Shaheen,D,New Hampshire,51,36,15,-0.63,
2018-09-30,Booker,D,New Jersey,48,31,17,12.88,
2018-09-30,Menendez,D,New Jersey,31,46,-15,12.88,
2018-09-30,Heinrich,D,New Mexico,45,33,12,6.96,
2018-09-30,Udall,D,New Mexico,47,32,15,6.96,
2018-09-30,Gillibrand,D,New York,45,30,15,22.38,
2018-09-30,Schumer,D,New York,48,36,12,22.38,
2018-09-30,Burr,R,North Carolina,40,32,8,6.02,
2018-09-30,Tillis,R,North Carolina,36,33,3,6.02,
2018-09-30,Heitkamp,D,North Dakota,47,43,4,-35.91,
2018-09-30,Hoeven,R,North Dakota,54,28,26,35.91,
2018-09-30,Brown,D,Ohio,45,29,16,-7.35,
2018-09-30,Portman,R,Ohio,37,33,4,7.35,
2018-09-30,Inhofe,R,Oklahoma,39,38,1,39.74,
2018-09-30,Lankford,R,Oklahoma,40,36,4,39.74,
2018-09-30,Merkley,D,Oregon,46,29,17,9.6,
2018-09-30,Wyden,D,Oregon,52,27,25,9.6,
2018-09-30,Casey,D,Pennsylvania,43,31,12,-1.52,
2018-09-30,Toomey,R,Pennsylvania,35,39,-4,1.52,
2018-09-30,Reed,D,Rhode Island,56,21,35,17.66,
2018-09-30,Whitehouse,D,Rhode Island,50,32,18,17.66,
2018-09-30,Graham,R,South Carolina,43,39,4,16.31,
2018-09-30,T. Scott,R,South Carolina,53,22,31,16.31,
2018-09-30,Rounds,R,South Dakota,54,32,22,30.14,
2018-09-30,Thune,R,South Dakota,58,30,28,30.14,
2018-09-30,Alexander,R,Tennessee,43,33,10,27.84,
2018-09-30,Corker,R,Tennessee,41,36,5,27.84,
2018-09-30,Cornyn,R,Texas,42,27,15,14.29,
2018-09-30,Cruz,R,Texas,49,35,14,14.29,
2018-09-30,Lee,R,Utah,48,29,19,36.75,
2018-09-30,Hatch,R,Utah,47,39,8,36.75,
2018-09-30,Leahy,D,Vermont,61,27,34,29.71,
2018-09-30,Sanders,I,Vermont,63,30,33,29.71,
2018-09-30,Kaine,D,Virginia,45,34,11,2.29,
2018-09-30,Warner,D,Virginia,49,30,19,2.29,
2018-09-30,Cantwell,D,Washington,46,30,16,14,
2018-09-30,Murray,D,Washington,48,32,16,14,
2018-09-30,Moore Capito,R,West Virginia,47,33,14,41.58,
2018-09-30,Manchin,D,West Virginia,44,43,1,-41.58,
