quarter,senator,party,state,approve,disapprove,net,lean,pars_538
2017-12-31,Barrasso,R,Wyoming,61,24,37,51.08,
2017-12-31,Enzi,R,Wyoming,62,24,38,51.08,
2017-09-30,Strange,R,Alabama,44,34,10,29.43,
2017-09-30,Shelby,R,Alabama,53,27,26,29.43,
2017-09-30,Murkowski,R,Alaska,49,38,11,18.83,
2017-09-30,Sullivan,R,Alaska,49,32,17,18.83,
2017-09-30,McCain,R,Arizona,46,44,2,8.3,
2017-09-30,Flake,R,Arizona,33,48,-15,8.3,
2017-09-30,Boozman,R,Arkansas,52,23,29,29.96,
2017-09-30,Cotton,R,Arkansas,55,27,28,29.96,
2017-09-30,Feinstein,D,California,47,33,14,26.71,
2017-09-30,Harris,D,California,46,26,20,26.71,
2017-09-30,Bennet,D,Colorado,46,30,16,2.62,
2017-09-30,Gardner,R,Colorado,40,39,1,-2.62,
2017-09-30,Blumenthal,D,Connecticut,54,34,20,12.57,
2017-09-30,Murphy,D,Connecticut,53,31,22,12.57,
2017-09-30,Carper,D,Delaware,55,24,31,11.46,
2017-09-30,Coons,D,Delaware,48,29,19,11.46,
2017-09-30,Rubio,R,Florida,47,37,10,3.36,
2017-09-30,Nelson,D,Florida,50,26,24,-3.36,
2017-09-30,Isakson,R,Georgia,49,26,23,8.96,
2017-09-30,Perdue,R,Georgia,51,26,25,8.96,
2017-09-30,Hirono,D,Hawaii,60,24,36,35.09,
2017-09-30,Schatz,D,Hawaii,60,22,38,35.09,
2017-09-30,Crapo,R,Idaho,50,30,20,38.1,
2017-09-30,Risch,R,Idaho,43,29,14,38.1,
2017-09-30,Duckworth,D,Illinois,41,32,9,14.96,
2017-09-30,Durbin,D,Illinois,37,38,-1,14.96,
2017-09-30,Young,R,Indiana,45,26,19,19.76,
2017-09-30,Donnelly,D,Indiana,47,26,21,-19.76,
2017-09-30,Ernst,R,Iowa,45,36,9,7.33,
2017-09-30,Grassley,R,Iowa,50,35,15,7.33,
2017-09-30,Moran,R,Kansas,44,34,10,24.98,
2017-09-30,Roberts,R,Kansas,39,40,-1,24.98,
2017-09-30,McConnell,R,Kentucky,33,55,-22,31.44,
2017-09-30,Paul,R,Kentucky,48,36,12,31.44,
2017-09-30,Cassidy,R,Louisiana,47,30,17,22.18,
2017-09-30,Kennedy,R,Louisiana,50,25,25,22.18,
2017-09-30,Collins,R,Maine,62,30,32,-4.58,
2017-09-30,King,I,Maine,61,27,34,4.58,
2017-09-30,Cardin,D,Maryland,50,23,27,24.78,
2017-09-30,Van Hollen,D,Maryland,48,23,25,24.78,
2017-09-30,Markey,D,Massachusetts,49,22,27,24.6,
2017-09-30,Warren,D,Massachusetts,54,35,19,24.6,
2017-09-30,Peters,D,Michigan,37,28,9,0.32,
2017-09-30,Stabenow,D,Michigan,45,36,9,0.32,
2017-09-30,Klobuchar,D,Minnesota,59,26,33,1.04,
2017-09-30,Franken,D,Minnesota,55,32,23,1.04,
2017-09-30,Cochran,R,Mississippi,51,27,24,18.67,
2017-09-30,Wicker,R,Mississippi,49,26,23,18.67,
2017-09-30,Blunt,R,Missouri,44,36,8,19.03,
2017-09-30,McCaskill,D,Missouri,42,39,3,-19.03,
2017-09-30,Daines,R,Montana,49,32,17,22.24,
2017-09-30,Tester,D,Montana,53,33,20,-22.24,
2017-09-30,Fischer,R,Nebraska,45,35,10,28.28,
2017-09-30,Sasse,R,Nebraska,46,34,12,28.28,
2017-09-30,Cortez Masto,D,Nevada,45,32,13,1.16,
2017-09-30,Heller,R,Nevada,39,39,0,-1.16,
2017-09-30,Hassan,D,New Hampshire,53,31,22,-0.63,
2017-09-30,Shaheen,D,New Hampshire,50,33,17,-0.63,
2017-09-30,Booker,D,New Jersey,48,30,18,12.88,
2017-09-30,Menendez,D,New Jersey,32,45,-13,12.88,
2017-09-30,Heinrich,D,New Mexico,46,31,15,6.96,
2017-09-30,Udall,D,New Mexico,45,31,14,6.96,
2017-09-30,Gillibrand,D,New York,49,24,25,22.38,
2017-09-30,Schumer,D,New York,55,29,26,22.38,
2017-09-30,Burr,R,North Carolina,42,32,10,6.02,
2017-09-30,Tillis,R,North Carolina,38,31,7,6.02,
2017-09-30,Heitkamp,D,North Dakota,55,32,23,-35.91,
2017-09-30,Hoeven,R,North Dakota,63,20,43,35.91,
2017-09-30,Brown,D,Ohio,47,28,19,-7.35,
2017-09-30,Portman,R,Ohio,43,31,12,7.35,
2017-09-30,Inhofe,R,Oklahoma,45,34,11,39.74,
2017-09-30,Lankford,R,Oklahoma,48,28,20,39.74,
2017-09-30,Merkley,D,Oregon,53,24,29,9.6,
2017-09-30,Wyden,D,Oregon,56,23,33,9.6,
2017-09-30,Casey,D,Pennsylvania,43,32,11,-1.52,
2017-09-30,Toomey,R,Pennsylvania,39,38,1,1.52,
2017-09-30,Reed,D,Rhode Island,51,28,23,17.66,
2017-09-30,Whitehouse,D,Rhode Island,49,32,17,17.66,
2017-09-30,Graham,R,South Carolina,44,39,5,16.31,
2017-09-30,T. Scott,R,South Carolina,55,22,33,16.31,
2017-09-30,Rounds,R,South Dakota,51,32,19,30.14,
2017-09-30,Thune,R,South Dakota,56,31,25,30.14,
2017-09-30,Alexander,R,Tennessee,45,31,14,27.84,
2017-09-30,Corker,R,Tennessee,48,30,18,27.84,
2017-09-30,Cornyn,R,Texas,46,27,19,14.29,
2017-09-30,Cruz,R,Texas,52,32,20,14.29,
2017-09-30,Lee,R,Utah,52,30,22,36.75,
2017-09-30,Hatch,R,Utah,46,41,5,36.75,
2017-09-30,Leahy,D,Vermont,67,22,45,29.71,
2017-09-30,Sanders,I,Vermont,71,22,49,29.71,
2017-09-30,Kaine,D,Virginia,48,35,13,2.29,
2017-09-30,Warner,D,Virginia,53,28,25,2.29,
2017-09-30,Cantwell,D,Washington,50,28,22,14,
2017-09-30,Murray,D,Washington,51,32,19,14,
2017-09-30,Moore Capito,R,West Virginia,48,36,12,41.58,
2017-09-30,Manchin,D,West Virginia,53,36,17,-41.58,
2017-09-30,Baldwin,D,Wisconsin,41,38,3,-0.84,
2017-09-30,Johnson,R,Wisconsin,41,39,2,0.84,
2017-09-30,Barrasso,R,Wyoming,53,26,27,51.08,
2017-09-30,Enzi,R,Wyoming,53,25,28,51.08,
2017-06-30,Strange,R,Alabama,44,30,14,29.43,
2017-06-30,Shelby,R,Alabama,53,29,24,29.43,
2017-06-30,Murkowski,R,Alaska,55,37,18,18.83,
2017-06-30,Sullivan,R,Alaska,51,35,16,18.83,
2017-06-30,McCain,R,Arizona,43,47,-4,8.3,
2017-06-30,Flake,R,Arizona,37,45,-8,8.3,
2017-06-30,Boozman,R,Arkansas,49,28,21,29.96,
2017-06-30,Cotton,R,Arkansas,51,32,19,29.96,
2017-06-30,Feinstein,D,California,51,33,18,26.71,
2017-06-30,Harris,D,California,51,24,27,26.71,
2017-06-30,Bennet,D,Colorado,49,28,21,2.62,
2017-06-30,Gardner,R,Colorado,48,29,19,-2.62,
2017-06-30,Blumenthal,D,Connecticut,56,34,22,12.57,
2017-06-30,Murphy,D,Connecticut,53,33,20,12.57,
2017-06-30,Carper,D,Delaware,58,26,32,11.46,
2017-06-30,Coons,D,Delaware,52,31,21,11.46,
2017-06-30,Rubio,R,Florida,49,37,12,3.36,
2017-06-30,Nelson,D,Florida,53,25,28,-3.36,
2017-06-30,Isakson,R,Georgia,51,26,25,8.96,
2017-06-30,Perdue,R,Georgia,53,26,27,8.96,
2017-06-30,Hirono,D,Hawaii,67,23,44,35.09,
2017-06-30,Schatz,D,Hawaii,69,21,48,35.09,
2017-06-30,Crapo,R,Idaho,58,29,29,38.1,
2017-06-30,Risch,R,Idaho,53,25,28,38.1,
2017-06-30,Duckworth,D,Illinois,48,30,18,14.96,
2017-06-30,Durbin,D,Illinois,45,36,9,14.96,
2017-06-30,Young,R,Indiana,48,28,20,19.76,
2017-06-30,Donnelly,D,Indiana,53,25,28,-19.76,
2017-06-30,Ernst,R,Iowa,47,35,12,7.33,
2017-06-30,Grassley,R,Iowa,52,35,17,7.33,
2017-06-30,Moran,R,Kansas,45,30,15,24.98,
2017-06-30,Roberts,R,Kansas,43,35,8,24.98,
2017-06-30,McConnell,R,Kentucky,41,48,-7,31.44,
2017-06-30,Paul,R,Kentucky,50,38,12,31.44,
2017-06-30,Cassidy,R,Louisiana,51,27,24,22.18,
2017-06-30,Kennedy,R,Louisiana,54,24,30,22.18,
2017-06-30,Collins,R,Maine,65,26,39,-4.58,
2017-06-30,King,I,Maine,62,25,37,4.58,
2017-06-30,Cardin,D,Maryland,53,21,32,24.78,
2017-06-30,Van Hollen,D,Maryland,51,23,28,24.78,
2017-06-30,Markey,D,Massachusetts,55,22,33,24.6,
2017-06-30,Warren,D,Massachusetts,57,35,22,24.6,
2017-06-30,Peters,D,Michigan,38,29,9,0.32,
2017-06-30,Stabenow,D,Michigan,45,37,8,0.32,
2017-06-30,Klobuchar,D,Minnesota,59,28,31,1.04,
2017-06-30,Franken,D,Minnesota,56,33,23,1.04,
2017-06-30,Cochran,R,Mississippi,53,28,25,18.67,
2017-06-30,Wicker,R,Mississippi,51,24,27,18.67,
2017-06-30,Blunt,R,Missouri,46,37,9,19.03,
2017-06-30,McCaskill,D,Missouri,46,38,8,-19.03,
2017-06-30,Daines,R,Montana,53,30,23,22.24,
2017-06-30,Tester,D,Montana,50,39,11,-22.24,
2017-06-30,Fischer,R,Nebraska,49,33,16,28.28,
2017-06-30,Sasse,R,Nebraska,52,28,24,28.28,
2017-06-30,Cortez Masto,D,Nevada,44,33,11,1.16,
2017-06-30,Heller,R,Nevada,41,33,8,-1.16,
2017-06-30,Hassan,D,New Hampshire,52,33,19,-0.63,
2017-06-30,Shaheen,D,New Hampshire,54,31,23,-0.63,
2017-06-30,Booker,D,New Jersey,50,32,18,12.88,
2017-06-30,Menendez,D,New Jersey,39,38,1,12.88,
2017-06-30,Heinrich,D,New Mexico,48,30,18,6.96,
2017-06-30,Udall,D,New Mexico,53,27,26,6.96,
2017-06-30,Gillibrand,D,New York,53,23,30,22.38,
2017-06-30,Schumer,D,New York,59,29,30,22.38,
2017-06-30,Burr,R,North Carolina,45,32,13,6.02,
2017-06-30,Tillis,R,North Carolina,41,31,10,6.02,
2017-06-30,Heitkamp,D,North Dakota,60,28,32,-35.91,
2017-06-30,Hoeven,R,North Dakota,66,17,49,35.91,
2017-06-30,Brown,D,Ohio,50,29,21,-7.35,
2017-06-30,Portman,R,Ohio,50,28,22,7.35,
2017-06-30,Inhofe,R,Oklahoma,50,31,19,39.74,
2017-06-30,Lankford,R,Oklahoma,52,26,26,39.74,
2017-06-30,Merkley,D,Oregon,57,24,33,9.6,
2017-06-30,Wyden,D,Oregon,61,24,37,9.6,
2017-06-30,Casey,D,Pennsylvania,46,31,15,-1.52,
2017-06-30,Toomey,R,Pennsylvania,45,36,9,1.52,
2017-06-30,Reed,D,Rhode Island,51,29,22,17.66,
2017-06-30,Whitehouse,D,Rhode Island,46,35,11,17.66,
2017-06-30,Graham,R,South Carolina,48,38,10,16.31,
2017-06-30,T. Scott,R,South Carolina,59,20,39,16.31,
2017-06-30,Rounds,R,South Dakota,62,29,33,30.14,
2017-06-30,Thune,R,South Dakota,64,26,38,30.14,
2017-06-30,Alexander,R,Tennessee,52,29,23,27.84,
2017-06-30,Corker,R,Tennessee,52,29,23,27.84,
2017-06-30,Cornyn,R,Texas,49,25,24,14.29,
2017-06-30,Cruz,R,Texas,55,32,23,14.29,
2017-06-30,Lee,R,Utah,54,29,25,36.75,
2017-06-30,Hatch,R,Utah,52,38,14,36.75,
2017-06-30,Leahy,D,Vermont,66,25,41,29.71,
2017-06-30,Sanders,I,Vermont,75,21,54,29.71,
2017-06-30,Kaine,D,Virginia,51,35,16,2.29,
2017-06-30,Warner,D,Virginia,58,28,30,2.29,
2017-06-30,Cantwell,D,Washington,54,28,26,14,
2017-06-30,Murray,D,Washington,56,30,26,14,
2017-06-30,Moore Capito,R,West Virginia,56,26,30,41.58,
2017-06-30,Manchin,D,West Virginia,57,31,26,-41.58,
2017-06-30,Baldwin,D,Wisconsin,42,38,4,-0.84,
2017-06-30,Johnson,R,Wisconsin,43,37,6,0.84,
2017-06-30,Barrasso,R,Wyoming,56,18,38,51.08,
2017-06-30,Enzi,R,Wyoming,57,17,40,51.08,
2017-03-31,,,Alabama,,,0,,
2017-03-31,Shelby,R,Alabama,61,26,35,29.43,
2017-03-31,Murkowski,R,Alaska,53,40,13,18.83,
2017-03-31,Sullivan,R,Alaska,54,34,20,18.83,
2017-03-31,McCain,R,Arizona,51,43,8,8.3,
2017-03-31,Flake,R,Arizona,44,38,6,8.3,
2017-03-31,Boozman,R,Arkansas,55,26,29,29.96,
2017-03-31,Cotton,R,Arkansas,58,30,28,29.96,
2017-03-31,Feinstein,D,California,53,33,20,26.71,
2017-03-31,Harris,D,California,52,23,29,26.71,
2017-03-31,Bennet,D,Colorado,54,26,28,2.62,
2017-03-31,Gardner,R,Colorado,49,30,19,-2.62,
2017-03-31,Blumenthal,D,Connecticut,58,33,25,12.57,
2017-03-31,Murphy,D,Connecticut,55,33,22,12.57,
2017-03-31,Carper,D,Delaware,65,22,43,11.46,
2017-03-31,Coons,D,Delaware,58,26,32,11.46,
2017-03-31,Rubio,R,Florida,52,38,14,3.36,
2017-03-31,Nelson,D,Florida,53,26,27,-3.36,
2017-03-31,Isakson,R,Georgia,56,23,33,8.96,
2017-03-31,Perdue,R,Georgia,55,24,31,8.96,
2017-03-31,Hirono,D,Hawaii,57,24,33,35.09,
2017-03-31,Schatz,D,Hawaii,65,16,49,35.09,
2017-03-31,Crapo,R,Idaho,58,29,29,38.1,
2017-03-31,Risch,R,Idaho,51,23,28,38.1,
2017-03-31,Duckworth,D,Illinois,52,27,25,14.96,
2017-03-31,Durbin,D,Illinois,50,34,16,14.96,
2017-03-31,Young,R,Indiana,48,25,23,19.76,
2017-03-31,Donnelly,D,Indiana,46,26,20,-19.76,
2017-03-31,Ernst,R,Iowa,47,37,10,7.33,
2017-03-31,Grassley,R,Iowa,56,35,21,7.33,
2017-03-31,Moran,R,Kansas,51,29,22,24.98,
2017-03-31,Roberts,R,Kansas,47,35,12,24.98,
2017-03-31,McConnell,R,Kentucky,44,47,-3,31.44,
2017-03-31,Paul,R,Kentucky,53,35,18,31.44,
2017-03-31,Cassidy,R,Louisiana,50,27,23,22.18,
2017-03-31,Kennedy,R,Louisiana,55,20,35,22.18,
2017-03-31,Collins,R,Maine,67,27,40,-4.58,
2017-03-31,King,I,Maine,67,23,44,4.58,
2017-03-31,Cardin,D,Maryland,54,21,33,24.78,
2017-03-31,Van Hollen,D,Maryland,52,20,32,24.78,
2017-03-31,Markey,D,Massachusetts,55,23,32,24.6,
2017-03-31,Warren,D,Massachusetts,56,38,18,24.6,
2017-03-31,Peters,D,Michigan,39,27,12,0.32,
2017-03-31,Stabenow,D,Michigan,47,38,9,0.32,
2017-03-31,Klobuchar,D,Minnesota,63,26,37,1.04,
2017-03-31,Franken,D,Minnesota,59,33,26,1.04,
2017-03-31,Cochran,R,Mississippi,57,28,29,18.67,
2017-03-31,Wicker,R,Mississippi,52,25,27,18.67,
2017-03-31,Blunt,R,Missouri,47,38,9,19.03,
2017-03-31,McCaskill,D,Missouri,47,39,8,-19.03,
2017-03-31,Daines,R,Montana,55,28,27,22.24,
2017-03-31,Tester,D,Montana,57,32,25,-22.24,
2017-03-31,Fischer,R,Nebraska,56,31,25,28.28,
2017-03-31,Sasse,R,Nebraska,55,26,29,28.28,
2017-03-31,Cortez Masto,D,Nevada,42,37,5,1.16,
2017-03-31,Heller,R,Nevada,43,32,11,-1.16,
2017-03-31,Hassan,D,New Hampshire,53,31,22,-0.63,
2017-03-31,Shaheen,D,New Hampshire,57,30,27,-0.63,
2017-03-31,Booker,D,New Jersey,50,32,18,12.88,
2017-03-31,Menendez,D,New Jersey,40,36,4,12.88,
2017-03-31,Heinrich,D,New Mexico,48,31,17,6.96,
2017-03-31,Udall,D,New Mexico,53,31,22,6.96,
2017-03-31,Gillibrand,D,New York,56,22,34,22.38,
2017-03-31,Schumer,D,New York,63,27,36,22.38,
2017-03-31,Burr,R,North Carolina,44,35,9,6.02,
2017-03-31,Tillis,R,North Carolina,39,30,9,6.02,
2017-03-31,Heitkamp,D,North Dakota,60,32,28,-35.91,
2017-03-31,Hoeven,R,North Dakota,65,23,42,35.91,
2017-03-31,Brown,D,Ohio,52,30,22,-7.35,
2017-03-31,Portman,R,Ohio,53,27,26,7.35,
2017-03-31,Inhofe,R,Oklahoma,57,27,30,39.74,
2017-03-31,Lankford,R,Oklahoma,57,24,33,39.74,
2017-03-31,Merkley,D,Oregon,59,23,36,9.6,
2017-03-31,Wyden,D,Oregon,65,22,43,9.6,
2017-03-31,Casey,D,Pennsylvania,49,29,20,-1.52,
2017-03-31,Toomey,R,Pennsylvania,47,38,9,1.52,
2017-03-31,Reed,D,Rhode Island,63,21,42,17.66,
2017-03-31,Whitehouse,D,Rhode Island,59,28,31,17.66,
2017-03-31,Graham,R,South Carolina,46,40,6,16.31,
2017-03-31,T. Scott,R,South Carolina,59,19,40,16.31,
2017-03-31,Rounds,R,South Dakota,61,28,33,30.14,
2017-03-31,Thune,R,South Dakota,66,27,39,30.14,
2017-03-31,Alexander,R,Tennessee,55,29,26,27.84,
2017-03-31,Corker,R,Tennessee,57,26,31,27.84,
2017-03-31,Cornyn,R,Texas,49,23,26,14.29,
2017-03-31,Cruz,R,Texas,57,31,26,14.29,
2017-03-31,Lee,R,Utah,56,27,29,36.75,
2017-03-31,Hatch,R,Utah,53,36,17,36.75,
2017-03-31,Leahy,D,Vermont,70,22,48,29.71,
2017-03-31,Sanders,I,Vermont,75,21,54,29.71,
2017-03-31,Kaine,D,Virginia,50,36,14,2.29,
2017-03-31,Warner,D,Virginia,59,27,32,2.29,
2017-03-31,Cantwell,D,Washington,56,27,29,14,
2017-03-31,Murray,D,Washington,59,29,30,14,
2017-03-31,Moore Capito,R,West Virginia,59,26,33,41.58,
2017-03-31,Manchin,D,West Virginia,57,33,24,-41.58,
2017-03-31,Baldwin,D,Wisconsin,44,38,6,-0.84,
2017-03-31,Johnson,R,Wisconsin,48,37,11,0.84,
2017-03-31,Barrasso,R,Wyoming,69,17,52,51.08,
2017-03-31,Enzi,R,Wyoming,68,18,50,51.08,
